WALL	$s:13F9	0	0	0	#6DE680	sub_1C77	[0, 0, 0]	0
DOOR	$s:6DF7	5500	-16500	14250	#8BCF66	sub_1C77	2000	0
$s:B959	$s:7B5C	6000	-25000	-24000	#E8818A	<script>	[0, 0, 0]	0
DYNWALL	$s:8C3B	4000	-16500	14250	#B06DCD	<script>		0
DYNWALL	$s:8C3B	-9750	-16500	-17500	#B06DCD	<script>		0
WALL	$s:E6D4	0	0	0	#6DE680	<script>	[0, 0, 0]	0
DMYWALL	$s:52F3	5500	-16500	14250	#945FE4	<script>	[0, 2048, 0]	0
DOOR	$s:6DF8	-7500	-16500	-21625	#8BCF66	<script>	[0, 3072, 0]	0
DOOR	$s:6DF9	-9750	-16500	-17250	#8BCF66	<script>	2000	0
ITEM	$s:A89B	1000	-16500	-20000	#929D77	<script>		0
ITEM	$s:A89B	750	-16500	13250	#929D77	<script>		0
ITEM	$s:A89B	750	-16500	11250	#929D77	<script>		0
ITEM	$s:A89B	750	-16500	12250	#929D77	<script>		0
ITEM	$s:A89D	8500	-16500	11500	#929D77	<script>		0
ITEM	$s:A89E	-11500	-16500	-21500	#929D77	<script>		0
ITEM	$s:A89F	-11500	-16500	-19750	#929D77	<script>		0
